id,resp,covX,covZ,aux
1,14.01142544,0.847292564,0,2.946778191
2,16.50901174,NA,0,2.950149952
3,16.43993401,0.643775965,0,2.884986042
4,12.17524629,NA,0,3.012624092
5,15.49129679,0.744315656,0,3.04728639
6,14.3444895,NA,0,2.981347478
7,11.91878205,NA,0,2.838071355
8,12.47783048,NA,0,2.959724095
9,13.70296601,NA,0,3.041281224
10,15.81526713,NA,0,2.92792806
11,13.99277245,0.749585384,0,2.940993477
12,12.18232792,0.648147549,0,2.883037338
13,13.91887605,0.754476402,0,3.059145665
14,15.91567503,NA,0,2.933136105
15,13.32990361,0.705516814,0,3.316793765
16,13.06704724,NA,0,3.101303942
17,11.55654048,NA,0,2.983401268
18,12.23766935,0.830032799,0,3.000241647
19,11.67355265,NA,0,2.928269802
20,15.39940243,NA,0,3.028133803
21,16.01988307,NA,0,3.00072819
22,14.42403293,NA,0,2.827029977
23,13.86853925,0.63113612,0,2.815652638
24,14.12724409,0.813180766,0,3.060120303
25,13.3722661,0.658496873,0,2.768206243
26,13.40725144,0.636226892,0,2.961968793
27,14.08554359,NA,0,3.16551649
28,15.02400641,0.857348944,0,2.833714495
29,16.00165807,NA,0,3.029472967
30,12.02589321,NA,0,3.156990144
31,14.68375621,0.899403915,0,3.05119469
32,15.54380879,0.825398925,0,3.12859024
33,11.78093955,NA,0,2.903248525
34,14.04045872,0.645937766,0,3.063238935
35,12.70095655,0.574677603,0,3.018307867
36,17.60306817,0.900694049,0,3.135011612
37,9.145173321,NA,0,3.248732767
38,11.91478909,0.665512867,0,3.01146617
39,14.91365114,0.780083941,0,3.109574036
40,15.27715648,NA,0,2.959729013
41,16.49931423,NA,0,2.964093029
42,11.97198234,NA,0,2.944721177
43,16.03430429,NA,0,2.864532502
44,11.32308228,0.552100049,0,3.007333886
45,11.8654101,NA,0,2.996101147
46,13.24371709,NA,0,3.072186988
47,16.26885874,0.828003001,0,2.978508104
48,14.03356304,NA,0,2.908441507
49,14.71908444,0.753890557,0,2.987156146
50,15.89343416,NA,0,3.184021049
51,13.91030169,0.724463577,0,3.045053126
52,12.47514709,0.80349776,0,3.027479368
53,14.4831042,NA,0,3.105637642
54,13.92732564,NA,0,3.179205428
55,15.96017387,0.650297339,0,3.171081922
56,14.41831296,0.753333972,0,2.956857107
57,13.73898074,NA,0,2.992072314
58,13.59256414,0.540348544,0,2.963677496
59,15.80874524,0.699537713,0,2.979900953
60,13.10161827,0.683005574,0,3.045128193
61,13.03908305,NA,0,2.952005802
62,15.19155246,NA,0,2.883447482
63,13.3831588,0.475372656,0,2.976105603
64,15.34178258,NA,0,3.144983465
65,14.35181031,NA,0,3.185287387
66,14.90658465,NA,0,2.95967685
67,10.37456057,0.843496796,0,3.082696832
68,15.93304102,0.748559825,0,2.98708651
69,15.79606854,0.73986944,0,2.987847311
70,15.92910796,0.696300229,0,2.932572672
71,15.57979707,NA,0,2.84215662
72,13.86006417,NA,0,3.18020764
73,15.74356586,0.826189511,0,3.080111681
74,14.14825056,0.542681683,0,2.820773527
75,14.91902472,0.691500039,0,2.965258127
76,13.06677564,NA,0,3.155431593
77,12.75371924,0.760869773,0,3.010649279
78,13.62613165,0.644007247,0,3.019250892
79,14.72042238,0.848898218,0,3.084922797
80,14.09734055,NA,0,3.099051461
81,14.71969047,0.874397076,0,3.062758221
82,14.7800011,0.686159046,0,3.041521549
83,13.25013427,NA,0,3.147493906
84,16.04461045,NA,0,3.170947207
85,15.6037802,0.79945391,0,3.02283596
86,13.37396961,NA,0,2.979188312
87,14.26155873,0.717846872,0,3.001214576
88,14.96563739,0.889587769,0,3.034972266
89,13.53345206,0.726664491,0,2.932235536
90,13.82356654,0.788398261,0,3.064218268
91,14.50708022,NA,0,2.871056196
92,16.01159367,NA,0,3.222606725
93,15.23203336,0.883099084,0,2.751658064
94,14.91116969,0.71007204,0,3.017283428
95,13.14200604,0.739901246,0,2.994109585
96,13.2601842,NA,0,3.05474523
97,11.07285672,NA,0,2.95895264
98,15.75852777,NA,0,3.240240516
99,15.30980552,NA,0,2.985577906
100,16.53969279,0.691936438,0,3.002339644
101,12.58973076,0.642034436,0,3.112412194
102,12.29136442,NA,0,3.069777449
103,13.03061685,NA,0,3.018090748
104,13.19721048,NA,0,2.983039717
105,14.57828336,1.01161495,0,2.976547195
106,15.06763764,0.740222033,0,2.864506931
107,12.44808081,NA,0,3.062995608
108,10.60715563,0.636607841,0,3.044727015
109,15.64555445,0.738997222,0,2.895595814
110,15.14615446,NA,0,2.981271443
111,13.15972678,0.719173104,0,3.128729087
112,12.56217191,0.78994044,0,3.127409281
113,12.90497647,NA,0,2.877883864
114,14.93426951,0.708374092,0,3.080202191
115,15.31636512,0.810211395,0,3.01268307
116,16.10740974,0.591461043,0,3.038851486
117,12.71416577,0.90941871,0,2.912780383
118,14.66378147,0.726564307,0,2.979291301
119,16.27773427,NA,0,2.794158731
120,13.04865509,0.717095593,0,2.926087668
121,13.32743763,NA,0,2.969337788
122,11.72022358,0.823836845,0,3.130341763
123,16.04763256,NA,0,2.894134014
124,13.72317899,NA,0,3.030172019
125,14.65506241,NA,0,3.008997319
126,12.59553604,NA,0,2.863660775
127,14.70393769,0.891887028,0,3.028252387
128,10.2316027,NA,0,3.158069945
129,13.20227485,NA,0,3.094004025
130,13.80881757,0.948079178,0,3.113143023
131,13.3744582,0.57268292,0,2.97863041
132,15.54791519,NA,0,3.09578389
133,13.71322604,0.742893189,0,2.762919037
134,14.7014595,0.764970821,0,2.874674139
135,12.81881578,0.497958605,0,2.982515205
136,13.10007605,0.705094576,0,3.010851159
137,11.11524872,0.598700187,0,3.051692045
138,13.85051145,NA,0,3.072163439
139,14.73564289,NA,0,2.954005617
140,12.93245446,0.622952754,0,2.951838845
141,14.40677698,0.828328261,0,2.965072468
142,16.18348991,0.71608431,0,2.943823403
143,14.70370747,NA,0,2.98752973
144,15.5430223,0.839016392,0,3.087755233
145,14.50082861,0.678152291,0,3.046334691
146,13.53954988,0.608425067,0,2.956063466
147,15.45518596,0.828480032,0,2.930758271
148,15.47749336,NA,0,2.989554721
149,13.70049701,NA,0,2.979200009
150,13.51394847,NA,0,3.121930841
151,13.84965808,NA,0,2.77295643
152,14.91717469,NA,0,2.902654733
153,13.45947908,NA,0,3.062119026
154,14.27793662,NA,0,3.066256167
155,13.7182123,0.535498046,0,2.934900975
156,15.18199318,NA,0,2.979126293
157,15.26767544,0.709009008,0,3.179691165
158,15.4251483,NA,0,2.890122159
159,12.55962071,0.877442309,0,3.177774209
160,15.01746178,NA,0,3.031694441
161,12.93224767,NA,0,3.104957642
162,14.37168583,0.807121255,0,2.947371921
163,14.24447074,NA,0,2.887978746
164,15.15508862,NA,0,3.039825949
165,12.95950316,0.796431878,0,3.04213068
166,14.00810489,NA,0,2.957484635
167,17.31379662,0.707878714,0,2.912300899
168,14.43049092,NA,0,3.12999966
169,13.2101007,NA,0,2.866321324
170,15.07213181,NA,0,3.142924243
171,16.80467139,NA,0,2.940530688
172,14.4231834,NA,0,2.811731354
173,13.20220481,NA,0,3.218031123
174,12.57917833,0.676482802,0,3.037877728
175,15.9529142,NA,0,2.893068717
176,15.48879446,NA,0,2.962485502
177,11.72168019,0.559596603,0,2.920520228
178,16.01323657,NA,0,3.031512287
179,15.23483029,0.617160408,0,3.013393939
180,13.78716568,0.788239213,0,2.875944842
181,13.40878843,0.614081719,0,3.025648054
182,15.25898836,0.695641807,0,2.932592979
183,12.72571119,NA,0,3.063322735
184,15.10017256,0.753442697,0,3.060236487
185,13.05925389,NA,0,2.996596631
186,14.66525242,0.945299201,0,2.921029364
187,15.05880891,NA,0,2.952956445
188,13.98656988,NA,0,2.898718186
189,14.89306513,0.789656934,0,3.083355327
190,15.86131604,NA,0,3.135402356
191,14.42242417,0.832965113,0,3.005007271
192,10.96749659,0.686602565,0,3.033688076
193,13.32683046,0.605013997,0,2.979100113
194,14.17557067,0.800864924,0,3.021845999
195,15.70667595,NA,0,3.187347521
196,13.64452914,0.873862579,0,3.02617218
197,14.31512313,0.652416114,0,3.133469452
198,12.76513418,NA,0,3.024774665
199,13.028002,0.579990139,0,2.862421514
200,12.30838015,NA,0,2.880946022
201,14.29113368,NA,0,2.902618138
202,14.20964402,NA,0,2.99003688
203,14.55711814,0.884677866,0,2.9889265
204,15.02720305,NA,0,3.11921946
205,14.38619546,0.794418339,0,2.834411407
206,14.7430989,NA,0,2.895435671
207,16.93810923,NA,0,2.825976087
208,14.17480739,0.542410137,0,3.051312077
209,14.34683617,0.815016042,0,2.955404315
210,13.65490353,0.644319083,0,2.816080622
211,12.87897379,NA,0,2.918015236
212,14.83567611,0.83442438,0,2.900479045
213,14.87000251,0.77238811,0,3.029731013
214,11.60704631,NA,0,3.05574165
215,11.87185976,NA,0,2.872666299
216,13.47361839,NA,0,3.102507261
217,12.28550426,0.603712067,0,3.046661217
218,12.63374118,NA,0,3.023391832
219,16.34863744,0.879888231,0,3.02644419
220,13.41932981,NA,0,3.043241992
221,16.17319461,0.753348374,0,3.097322215
222,15.75421308,0.857249401,0,2.947080594
223,14.98711978,0.743359966,0,3.004576848
224,14.7406292,0.845102659,0,3.279469141
225,13.8631306,0.708400745,0,2.89119998
226,14.13701325,0.812112695,0,3.029542957
227,15.61710867,0.566595493,0,2.856203543
228,15.59047145,NA,0,3.021308148
229,13.30242273,NA,0,3.097496063
230,11.03601085,0.495077545,0,2.764653784
231,13.99332942,NA,0,2.941548219
232,11.99446548,0.812192357,0,3.225387415
233,14.27614143,0.63252358,0,2.922597894
234,13.36466702,NA,0,2.857633202
235,13.18907334,0.757344959,0,3.045766938
236,12.33157425,0.634471882,0,2.927699911
237,12.44065361,NA,0,3.148374463
238,11.53272117,NA,0,3.108204886
239,14.7405131,0.804106229,0,3.079975844
240,12.94254076,NA,0,2.85747842
241,14.29750276,0.753470255,0,3.035920383
242,15.61757957,NA,0,3.038122255
243,13.8731729,NA,0,2.791654147
244,16.36678578,0.664763862,0,3.06278339
245,14.60294199,NA,0,3.030061325
246,12.95330243,0.531133704,0,2.894160276
247,17.9732656,NA,0,2.979135054
248,14.36909624,NA,0,3.204797323
249,15.44491088,0.754774577,0,3.078409728
250,15.617061,NA,0,2.872277069
251,14.66429396,0.589622327,0,3.009112401
252,17.05167154,0.831022529,0,3.174684531
253,13.88848935,NA,0,3.003245218
254,13.10401551,NA,0,2.948856728
255,12.29069813,NA,0,3.116480524
256,12.69182576,NA,0,2.953472266
257,15.51415258,NA,0,2.976936995
258,12.24762901,0.78223727,0,3.085580915
259,15.42295925,NA,0,3.177914433
260,13.32558502,NA,0,2.917465728
261,17.18422472,0.765680883,0,2.977112005
262,15.77467952,0.771405356,0,2.993096268
263,13.5488562,0.653503261,0,3.089413106
264,12.72009199,NA,0,3.154040617
265,13.96112267,NA,0,3.16911065
266,11.63561944,0.538864134,0,2.977278308
267,10.84623166,0.743588044,0,3.093121096
268,13.05526319,NA,0,2.912639737
269,14.24446798,NA,0,2.946217863
270,16.64082427,0.712243271,0,2.880305581
271,11.01025103,NA,0,2.889958418
272,14.31296045,0.549185503,0,3.059121993
273,16.01010684,0.805871249,0,3.073371257
274,15.06914483,0.633124622,0,3.021727756
275,15.63298014,NA,0,2.923778596
276,12.80305802,NA,0,3.029690313
277,14.72946137,NA,0,2.879500622
278,14.9168226,0.803548176,0,2.824423592
279,14.58520258,NA,0,2.949725739
280,13.72293783,0.720403658,0,2.958787214
281,14.65282642,0.678668692,0,2.905025211
282,15.47171276,NA,0,2.799585783
283,15.49363711,NA,0,2.957533462
284,14.50914951,NA,0,3.053270406
285,13.29767535,NA,0,3.078617531
286,13.69076153,0.618526364,0,3.159545413
287,15.42518125,NA,0,3.004177316
288,13.63067152,0.728982216,0,3.227647505
289,13.19831961,NA,0,3.045270022
290,14.7427477,0.727524946,0,2.984310139
291,16.0246787,0.80748964,0,2.80699818
292,14.62468196,0.93309729,0,3.243040542
293,16.10124098,NA,0,3.141070075
294,12.59770297,NA,0,3.063369298
295,13.85279027,0.746608151,0,3.111845496
296,15.79661426,0.766002253,0,3.104437263
297,15.58376565,0.800954299,0,3.085920791
298,14.02065474,NA,0,3.094183529
299,14.27727614,0.620901509,0,3.106213158
300,15.14044422,0.616425367,0,2.930989517
301,13.24053858,NA,0,2.973146214
302,13.3473329,0.661840002,0,3.0117522
303,15.81251445,NA,0,2.914439467
304,15.25593854,NA,0,3.217520634
305,13.39092139,NA,0,2.867555011
306,14.11991718,0.721743564,0,3.01421963
307,12.69226281,0.801862237,0,2.920535505
308,13.17217809,NA,0,3.008922381
309,13.54628529,0.683702628,0,3.016900857
310,13.43967408,0.716749235,0,2.995163561
311,15.91018985,NA,0,2.690534468
312,14.0782418,NA,0,2.750374652
313,12.92047426,0.725817764,0,3.072062029
314,16.36777045,0.817431551,0,2.910784215
315,13.85459031,NA,0,3.009702001
316,16.83572611,0.715835531,0,3.080002986
317,13.89083674,0.715528283,0,2.983170318
318,15.17727977,NA,0,2.928553144
319,13.66311183,NA,0,2.977339434
320,15.2942776,0.858701881,0,3.160854093
321,18.09360419,NA,0,3.156003753
322,12.93955595,0.72071336,0,3.194590476
323,13.69981742,NA,0,3.150084001
324,13.6023629,0.524718261,0,2.840680288
325,14.42152998,0.662510859,0,2.814447811
326,13.46885489,NA,0,3.006520808
327,13.23553738,NA,0,2.982227911
328,12.92866038,0.67506622,0,2.852225591
329,14.40612855,NA,0,2.800570757
330,13.63983841,NA,0,3.124752017
331,16.41632843,NA,0,3.167037578
332,14.51998694,0.785117522,0,3.026392319
333,12.11866665,NA,0,3.017074695
334,15.71730424,NA,0,2.987789461
335,14.19416826,NA,0,2.950557259
336,12.78459722,NA,0,2.860946504
337,14.65270411,0.702028667,0,2.979509971
338,12.43265426,0.8749437,0,2.895112646
339,12.99628994,NA,0,3.019074649
340,13.36539689,0.734588352,0,3.070765806
341,15.57363018,NA,0,2.970913532
342,14.14061395,0.72990286,0,3.148399659
343,13.51416472,NA,0,3.167522515
344,15.73356483,NA,0,3.123741024
345,13.7769138,NA,0,2.858800002
346,14.67785564,NA,0,2.845825537
347,14.89734614,0.706956525,0,3.007694441
348,11.303694,0.60998976,0,3.01583227
349,12.21891797,NA,0,3.067344443
350,12.4942768,NA,0,2.853041246
351,11.67954446,NA,0,2.972483899
352,12.77776111,NA,0,3.035177256
353,13.22110724,0.635730895,0,2.833514689
354,16.26740895,0.758366421,0,3.018693215
355,12.63081707,NA,0,3.19028275
356,15.41744485,NA,0,2.848122428
357,14.16060613,0.65691337,0,3.133052663
358,13.04966927,0.672701564,0,3.105160049
359,14.82170461,0.744145928,0,3.105512167
360,15.40689052,0.757957093,0,3.143140696
361,16.12219757,NA,0,3.0020647
362,16.43651145,0.691069018,0,3.020133489
363,13.50758944,0.757017519,0,2.901020725
364,12.65159465,0.566584353,0,3.051847961
365,16.79147826,0.789934241,0,3.127425588
366,15.37285499,0.818751744,0,3.019217933
367,13.24094527,NA,0,3.117516956
368,14.42162433,0.747076062,0,3.124239293
369,13.22961865,NA,0,2.870861006
370,14.9428393,NA,0,3.033797109
371,12.54471159,NA,0,2.952484732
372,14.34403032,0.818235351,0,2.98340456
373,13.24163576,NA,0,2.983361137
374,14.70044282,NA,0,2.887683946
375,15.80752517,NA,0,3.094094672
